teamID,4W,4L,4PCT,4H,4R,4RA,4E,5W,5L,5PCT,5H,5R,5RA,5E,6W,6L,6PCT,6H,6R,6RA,6E,7W,7L,7PCT,7H,7R,7RA,7E,8W,8L,8PCT,8H,8R,8RA,8E,9W,9L,9PCT,9H,9R,9RA,9E,homeW,homeL,homePct,awayW,awayL,awayPct,totalW,totalL,totalPct,eloRating,g,ghome,r,ab,h,double,triple,hr,bb,so,sb,cs,ra,pythag,er,era,cg,sho,sv,ipouts,ha,hra,bba,soa,e,dp,fp,attendance,bpf,ppf,1NL2AL,decade,goose_eggs,broken_eggs,mehs,gpct,gwar,pythagdiff,playoffs,lg_win,ws_win
1952_ATL,5,9,0.357142857,74,40,40,9,7,13,0.35,62,35,35,2,14,18,0.4375,47,19,19,2,13,14,0.481481481,21,12,12,0,13,16,0.448275862,98,38,38,11,10,17,0.37037037,79,36,36,6,30,43,0.410958904,32,44,0.421052632,62,87,0.416107383,1448.677272,155,77,569,5221,1214,187,31,110,483,711,58,34,651,0.438716809,586,3.78,63,11,13,4188,1388,106,525,687,153,143,0.97,281278,97,98,1,1950,67,21,14,0.794,-0.2517827,-3.504461147,0,0,0
1952_BAL,8,6,0.571428571,58,29,29,7,12,16,0.428571429,40,21,21,5,9,10,0.473684211,22,12,12,6,6,21,0.222222222,29,14,14,6,9,12,0.428571429,76,28,28,7,6,9,0.4,41,22,22,6,31,25,0.553571429,19,49,0.279411765,50,74,0.403225806,1445.990155,155,78,604,5353,1340,225,46,82,540,720,30,34,733,0.412355616,640,4.12,48,6,18,4197,1388,111,598,581,155,176,0.97,518796,103,106,2,1950,74,27,12,0.761,-0.797052,-1.415120514,0,0,0
1952_BOS,10,2,0.833333333,16,11,11,1,12,15,0.444444444,40,22,22,6,15,13,0.535714286,61,38,38,16,16,12,0.571428571,73,37,37,9,16,14,0.533333333,71,21,21,3,7,20,0.259259259,40,20,20,1,50,27,0.649350649,26,49,0.346666667,76,76,0.5,1465.704817,154,77,668,5246,1338,233,34,113,542,739,59,47,658,0.506900145,579,3.8,53,7,24,4116,1332,107,623,624,143,181,0.97,1115750,108,107,2,1950,65,10,8,0.880,4.7386888,-1.062622364,0,0,0
1952_CHC,6,4,0.6,54,22,22,2,12,10,0.545454545,69,38,38,10,14,13,0.518518519,45,20,20,4,11,15,0.423076923,49,35,35,7,12,17,0.413793103,92,40,40,9,11,8,0.578947368,52,14,14,2,40,33,0.547945205,26,34,0.433333333,66,67,0.496240602,1502.009945,155,77,628,5330,1408,223,45,107,422,712,50,40,631,0.497819708,551,3.58,59,15,15,4158,1265,101,534,661,146,123,0.97,1024826,101,103,1,1950,92,15,16,0.878,5.1318813,-0.244761486,0,0,0
1952_CHW,8,6,0.571428571,58,33,33,5,15,13,0.535714286,57,32,32,7,16,14,0.533333333,46,26,26,13,13,18,0.419354839,48,22,22,2,15,13,0.535714286,88,33,33,7,14,11,0.56,18,9,9,1,44,35,0.556962025,37,40,0.480519481,81,75,0.519230769,1510.558375,156,79,610,5316,1337,199,38,80,541,521,61,38,568,0.532590651,511,3.25,53,15,28,4248,1251,86,578,774,123,158,0.98,1231675,101,99,2,1950,60,14,3,0.818,2.3552593,-2.084141544,0,0,0
1952_CIN,8,5,0.615384615,44,23,23,3,11,15,0.423076923,86,49,49,11,12,18,0.4,70,40,40,9,8,22,0.266666667,45,19,19,1,17,14,0.548387097,71,29,29,7,13,11,0.541666667,51,18,18,3,38,39,0.493506494,31,46,0.402597403,69,85,0.448051948,1479.89198,154,77,615,5234,1303,212,45,104,480,709,32,42,659,0.468428231,607,4.01,56,11,12,4089,1377,111,517,579,107,145,0.98,604197,99,100,1,1950,26,8,5,0.795,0.3035286,-3.137947598,0,0,0
1952_CLE,9,5,0.642857143,38,12,12,3,16,12,0.571428571,94,58,58,7,13,15,0.464285714,51,28,28,5,19,12,0.612903226,54,27,27,9,18,12,0.6,104,42,42,8,19,5,0.791666667,37,22,22,2,49,28,0.636363636,45,33,0.576923077,94,61,0.606451613,1582.242859,155,77,763,5330,1399,211,49,148,626,749,46,39,606,0.603864096,519,3.32,80,19,18,4221,1278,94,556,671,155,141,0.97,1444607,94,91,2,1950,57,18,12,0.793,-0.6236872,0.401065081,0,0,0
1952_DET,2,9,0.181818182,34,19,19,5,11,15,0.423076923,53,26,26,6,7,18,0.28,32,17,17,9,10,17,0.37037037,26,15,15,0,6,20,0.230769231,96,39,39,7,6,15,0.285714286,21,12,12,2,25,38,0.396825397,17,56,0.232876712,42,94,0.308823529,1389.471629,156,77,557,5258,1278,190,37,103,553,605,27,38,738,0.374040215,655,4.25,51,10,14,4164,1394,111,591,702,149,145,0.97,1026846,100,103,2,1950,43,8,17,0.882,1.9847364,-10.17380293,0,0,0
1952_LAD,8,2,0.8,56,31,31,4,18,9,0.666666667,45,22,22,2,21,8,0.724137931,21,8,8,1,17,11,0.607142857,47,24,24,4,19,13,0.59375,52,30,30,6,13,16,0.448275862,62,26,26,4,45,35,0.5625,51,24,0.68,96,59,0.619354839,1535.394743,155,80,775,5266,1380,199,32,153,663,699,90,49,603,0.612831702,549,3.53,45,11,24,4197,1295,121,544,773,105,169,0.98,1088704,102,98,1,1950,37,15,11,0.762,-1.5385752,1.011086166,1,1,0
1952_MIN,4,6,0.4,39,26,26,3,17,12,0.586206897,56,29,29,6,15,13,0.535714286,83,51,51,18,18,16,0.529411765,51,29,29,10,14,17,0.451612903,72,26,26,5,12,12,0.5,61,29,29,4,42,36,0.538461538,38,40,0.487179487,80,76,0.512820513,1498.534385,157,78,598,5357,1282,225,44,50,580,607,48,37,608,0.492413344,535,3.37,75,10,15,4287,1405,78,577,574,130,152,0.97,699457,97,97,2,1950,58,15,13,0.826,1.8193871,3.203925546,0,0,0
1952_NYY,5,6,0.454545455,36,16,16,3,11,11,0.5,56,31,31,8,19,9,0.678571429,50,31,31,13,19,13,0.59375,66,30,30,5,15,11,0.576923077,58,19,19,4,18,4,0.818181818,58,34,34,10,48,28,0.631578947,39,26,0.6,87,54,0.617021277,1594.457194,154,77,727,5294,1411,221,56,129,566,652,52,42,557,0.619503428,482,3.14,72,21,27,4143,1240,94,581,666,127,199,0.97,1629665,95,91,2,1950,57,17,6,0.788,-0.0878789,-0.382251256,1,1,1
1952_OAK,2,8,0.2,29,8,8,2,11,11,0.5,72,37,37,8,10,12,0.454545455,66,43,43,18,19,11,0.633333333,41,20,20,1,20,14,0.588235294,58,19,19,3,9,15,0.375,39,21,21,5,44,31,0.586666667,27,40,0.402985075,71,71,0.5,1513.040586,155,78,664,5163,1305,212,35,89,683,561,52,43,723,0.461132935,638,4.15,73,11,16,4152,1402,113,526,562,140,148,0.97,627100,106,108,2,1950,29,6,6,0.854,1.0856562,6.024395031,0,0,0
1952_PHI,4,7,0.363636364,88,39,39,2,11,12,0.47826087,59,34,34,12,12,14,0.461538462,35,12,12,2,20,9,0.689655172,25,9,9,1,16,12,0.571428571,110,42,42,11,14,8,0.636363636,70,32,32,6,42,27,0.608695652,35,35,0.5,77,62,0.553956835,1562.755076,154,76,657,5205,1353,237,45,93,540,534,60,41,552,0.578999801,473,3.07,80,17,16,4158,1306,95,373,609,150,145,0.97,755417,99,98,1,1950,101,17,16,0.873,5.4387853,-3.856616897,0,0,0
1952_PIT,2,10,0.166666667,57,24,24,6,3,16,0.157894737,45,26,26,9,7,17,0.291666667,58,29,29,7,11,19,0.366666667,61,29,29,5,6,11,0.352941176,51,32,32,8,4,16,0.2,68,23,23,5,17,38,0.309090909,16,51,0.23880597,33,89,0.270491803,1376.086309,155,77,515,5193,1201,181,30,92,486,724,43,41,793,0.312183471,704,4.65,43,5,8,4089,1395,133,615,564,181,167,0.97,686673,102,107,1,1950,51,13,4,0.809,1.6070771,-6.462208463,0,0,0
